Run time (s),Round,Exception,deadline,Agreement,Discounted,#agreeing,min.util.,max.util.,Dist. to Pareto,Dist. to Nash,Social Welfare,Agent 1,Agent 2,Utility 1,Utility 2,Disc. Util. 1,Disc. Util. 2,Perceived. Util. 1,Perceived. Util. 2,Profile 1,Profile 2,Domain,Utility product
2.705,1001,,1000rounds,Yes,No,2,0.55467,0.91344,0.25891,0.34691,1.46811,SAGA,TheNewDeal,0.554667844047497,0.913440074459006,0.554667844047497,0.913440074459006,0.609899819057123,0.878949129272546,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.506655836766762
3.177,1000,,1000rounds,Yes,No,2,0.623,0.93438,0.20317,0.29028,1.55739,TheNewDeal,SAGA,0.934384137270231,0.623001319820879,0.934384137270231,0.623001319820879,0.908458487935287,0.661565364977282,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.5821225507390473
2.577,1000,,1000rounds,Yes,No,2,0.61599,0.93496,0.19392,0.28655,1.55095,SAGA,TheNewDeal,0.615989729855548,0.934956298923601,0.615989729855548,0.934956298923601,0.721998099690344,0.899708013407661,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.575923478000692
2.941,999,,1000rounds,Yes,No,2,0.81528,1.0,0.0,0.13759,1.81528,TheNewDeal,SAGA,1.0,0.815283163766363,1.0,0.815283163766363,0.987348252157379,0.825711449878777,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.815283163766363
2.973,999,,1000rounds,Yes,No,2,0.61558,0.93448,0.19447,0.28692,1.55006,SAGA,TheNewDeal,0.615584714039456,0.934477373543671,0.615584714039456,0.934477373543671,0.657084385557604,0.860397639097408,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.5752499867692227
2.894,999,,1000rounds,Yes,No,2,0.81528,1.0,0.0,0.13759,1.81528,TheNewDeal,SAGA,1.0,0.815283163766363,1.0,0.815283163766363,0.829312345030148,0.798840164601181,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.815283163766363
3.321,999,,1000rounds,Yes,No,2,0.73863,0.97799,0.06395,0.17601,1.71662,SAGA,TheNewDeal,0.738633501471651,0.977988747852791,0.738633501471651,0.977988747852791,0.765479337320528,0.842945420613137,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.7223752532263826
3.028,999,,1000rounds,Yes,No,2,0.72671,0.9657,0.09498,0.19553,1.69241,TheNewDeal,SAGA,0.965701542338635,0.726707249505469,0.965701542338635,0.726707249505469,0.952446694278263,0.762293928602289,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.7017823116760987
4.283,225,,1000rounds,Yes,No,2,0.83706,0.88185,0.07097,0.07097,1.71891,FSEGA2019,KakeSoba,0.837057295566304,0.881847825880049,0.837057295566304,0.881847825880049,0.846880372356547,0.899118224535439,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.7381571562321787
0.026,2,,1000rounds,Yes,No,2,0.81528,1.0,0.0,0.13759,1.81528,KakeSoba,FSEGA2019,1.0,0.815283163766363,1.0,0.815283163766363,1.0,0.999999999999999,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.815283163766363
6.921,418,,1000rounds,Yes,No,2,0.84005,0.88967,0.06526,0.06526,1.72972,FSEGA2019,KakeSoba,0.840051812189249,0.889668398584545,0.840051812189249,0.889668398584545,0.729791834931745,0.889113212366124,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.7473675504784542
7.692,596,,1000rounds,Yes,No,2,0.84005,0.88967,0.06526,0.06526,1.72972,KakeSoba,FSEGA2019,0.840051812189249,0.889668398584545,0.840051812189249,0.889668398584545,0.854827051701008,0.649775768901946,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.7473675504784542
4.473,237,,1000rounds,Yes,No,2,0.90158,0.91142,0.0,0.0,1.813,FSEGA2019,KakeSoba,0.901576205905346,0.911424085739105,0.901576205905346,0.911424085739105,0.824415959444906,0.915166581686788,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.8217182691914111
0.057,4,,1000rounds,Yes,No,2,0.69739,0.90567,0.15099,0.21408,1.60305,KakeSoba,FSEGA2019,0.905667674919017,0.697386554639061,0.905667674919017,0.697386554639061,0.896608678459549,0.985888362482938,holiday-Profile1_rv00_comp50.xml,holiday-Profile2_rv00_comp50.xml,Holiday,0.6316004594597423
