Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Row Labels,Average of Utility 1,,,,,Row Labels,Average of Utility 2,,,,,Agent,Avg overall utility,,Agent ranked,Avg overall utility
AgentGG,0.7573836952949562,,,,,AgentGG,0.7574149625963178,,,,,AgentGG,0.757399328945637,,AgentGG,0.757399328945637
AgentGP,0.6826173829478127,,,,,AgentGP,0.7070595913516364,,,,,AgentGP,0.6948384871497246,,KakeSoba,0.7432673738183877
AgentLarry,0.5874010270347718,,,,,AgentLarry,0.609406472396078,,,,,AgentLarry,0.5984037497154249,,SAGA,0.7314576973954604
AgentPeraltaV2,0.5459535909288932,,,,,AgentPeraltaV2,0.5596505108831946,,,,,AgentPeraltaV2,0.5528020509060438,,MINF,0.7280366869162778
AuthenticAgent,0.37621278842986416,,,,,AuthenticAgent,0.4001147414082064,,,,,AuthenticAgent,0.38816376491903526,,HardDealer,0.7244864810309286
dandikAgent,0.6942654991245711,,,,,dandikAgent,0.7047927970419666,,,,,dandikAgent,0.6995291480832688,,SolverAgent,0.7126066087968854
EAgent,0.672332997555234,,,,,EAgent,0.6383404799423166,,,,,EAgent,0.6553367387487753,,winkyAgent,0.7093365908766357
FSEGA2019,0.6866738857877701,,,,,FSEGA2019,0.7136964800612748,,,,,FSEGA2019,0.7001851829245225,,FSEGA2019,0.7001851829245225
GaravelAgent,0.6810746912569332,,,,,GaravelAgent,0.6330477561479341,,,,,GaravelAgent,0.6570612237024336,,dandikAgent,0.6995291480832688
Gravity,0.5881843109694248,,,,,Gravity,0.5682673015300463,,,,,Gravity,0.5782258062497356,,AgentGP,0.6948384871497246
Group1_BOA,0.6787111597300055,,,,,Group1_BOA,0.7067162518001586,,,,,Group1_BOA,0.6927137057650821,,Group1_BOA,0.6927137057650821
HardDealer,0.7449236502524332,,,,,HardDealer,0.704049311809424,,,,,HardDealer,0.7244864810309286,,TheNewDeal,0.6862723132692938
IBasic,0.3000000000000002,,,,,IBasic,0.3399999999999992,,,,,IBasic,0.31999999999999973,,GaravelAgent,0.6570612237024336
KAgent,0.5745540755714064,,,,,KAgent,0.6139794638729864,,,,,KAgent,0.5942667697221964,,EAgent,0.6553367387487753
KakeSoba,0.722037702320382,,,,,KakeSoba,0.7644970453163934,,,,,KakeSoba,0.7432673738183877,,AgentLarry,0.5984037497154249
MINF,0.7038085309270159,,,,,MINF,0.7522648429055397,,,,,MINF,0.7280366869162778,,KAgent,0.5942667697221964
SACRA,0.5012881376165976,,,,,SACRA,0.4788555916469338,,,,,SACRA,0.4900718646317657,,Gravity,0.5782258062497356
SAGA,0.7371547144610726,,,,,SAGA,0.7257606803298482,,,,,SAGA,0.7314576973954604,,AgentPeraltaV2,0.5528020509060438
SolverAgent,0.714093060117428,,,,,SolverAgent,0.7111201574763429,,,,,SolverAgent,0.7126066087968854,,SACRA,0.4900718646317657
TheNewDeal,0.6495752754020608,,,,,TheNewDeal,0.7229693511365267,,,,,TheNewDeal,0.6862723132692938,,AuthenticAgent,0.38816376491903526
winkyAgent,0.7043796472112742,,,,,winkyAgent,0.7142935345419972,,,,,winkyAgent,0.7093365908766357,,IBasic,0.31999999999999973
Grand Total,0.6334583725209579,,,,,Grand Total,0.6441093963902328,,,,,,,,,
